Greater Victoria,,,,,,,,,,,,,Mount Douglas Secondary,,,,,
,,,,,,Course Schedule Attributes,,,,,,,,,,,,
Page 1,,,,,,,,,,,,,,,,"April 17, 2023",,
,#,Course,Department,Substitute,,,Base Terms/Year,Covered Terms/Year,Max Enrollment,PPC,Priority,,,Sections,Content Terms,,Include,
ACAL-12---,,AP CALCULUS AB 12 external credential,Mathematics,,N,,2,1,29,2.00,,10,,1,,,,Y
ACSC-2A---,,AP COMPUTER SCIENCE A 12,Information Tech,,N,,2,1,24,2.00,,10,,1,,,,Y
AELC-12---,,AP ENGLISH LITERATURE & COMPOSITION 12,English,,N,,2,1,24,2.00,,10,,1,,,,Y
APHM-12---,,AP PHYSICS C (MECHANICS) 12 external credential,Sciences,,N,,2,1,23,2.00,,10,,1,,,,Y
ASTA-12---,,AP STATISTICS 12,Mathematics,,N,,1,1,29,2.00,,10,,1,,,,Y
MAC--11---,,ACCOUNTING 11,Business Education,,N,,2,1,29,2.00,,50,,3,,,,Y
MACC-12---,,ACCOUNTING 12,Business Education,,N,,2,1,29,2.00,,50,,1,,,,Y
MACLV11---,,ACTIVE LIVING 11,Physical Education,,N,,2,1,29,2.00,,50,,2,,,,Y
MACLV11G--,,ACTIVE LIVING 11 Girls,Physical Education,,N,,2,1,29,2.00,,50,,1,,,,Y
MACLV12---,,ACTIVE LIVING 12,Physical Education,,N,,2,1,29,2.00,,50,,2,,,,Y
MACLV12G--,,ACTIVE LIVING 12 Girls,Physical Education,,N,,2,1,29,2.00,,50,,1,,,,Y
MADD-09---,,ADST - Drafting 9,Applied Skills,,N,,2,1,24,2.00,,50,,5,,,,Y
MADEM10---,,ADST ? ENTREPRENEURSHIP AND MARKETING 10,Applied Skills,,N,,2,1,29,2.00,,50,,2,,,,Y
MADER09---,,ADST - Electronics and Robotics,Applied Skills,,N,,2,1,24,2.00,,50,,3,,,,Y
MADFS09---,,ADST - Food Studies 9,Applied Skills,,N,,2,1,23,2.00,,50,,3,,,,Y
MADGE09D--,,ADST 9 - General Exploratns Design Innov & Inquiry,Applied Skills,,N,,2,1,24,2.00,,50,,1,,,,Y
MADGE09I--,,INCLUSIVE INTRODUCTION TO TRADE SKILLS 9,Applied Skills,,N,,2,1,24,2.00,,50,,1,,,,Y
MADIT09---,,ADST-Information and Communications Technologies 9,Applied Skills,,N,,2,1,24,2.00,,50,,4,,,,Y
MADW-09---,,ADST - Woodwork 9,Applied Skills,,N,,2,1,21,2.00,,50,,3,,,,Y
Greater Victoria,,,,,,,,,,,,,Mount Douglas Secondary,,,,,
,,,,,,Course Schedule Attributes,,,,,,,,,,,,
Page 2,,,,,,,,,,,,,,,,"April 17, 2023",,
,#,Course,Department,Substitute,,,Base Terms/Year,Covered Terms/Year,Max Enrollment,PPC,Priority,,,Sections,Content Terms,,Include,
MAE--09---,,ARTS EDUCATION 9,Fine Arts,,N,,2,1,29,2.00,,50,,4,,,,Y
MATPH12---,,ANATOMY AND PHYSIOLOGY 12,Science,,N,,2,1,23,2.00,,35,,6,,,,Y
MBIT-11,,INTRODUCTORY ITALIAN 11,Languages,,N,,2,1,29,2.00,,15,,1,,,,Y
MCALC12---,,CALCULUS 12,Mathematics,,N,,2,1,29,2.00,,20,,3,,,,Y
