Semester 1,,,,Semester 2
A,B,C,D,A,B,C,D,Outside
"CAREER LIFE EDUCATION 10 Linear, ","INSTRUMENTAL MUSIC 11: CONCERT BAND LINEAR, INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR, ","PHYSICAL AND HEALTH EDUCATION 9 Linear, ","BEGINNER BAND 9 LINEAR, CONCERT BAND 9 Linear, ","CAREER LIFE EDUCATION 10 Linear, ","INSTRUMENTAL MUSIC 11: CONCERT BAND LINEAR, INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR, ","PHYSICAL AND HEALTH EDUCATION 9 Linear, ","BEGINNER BAND 9 LINEAR, CONCERT BAND 9 Linear, ","COMMUNITY LEADERSHIP 10 Linear, COMMUNITY LEADERSHIP 11 Linear, COMMUNITY LEADERSHIP 12 Linear, "
"SPOKEN LANGUAGE 10 LINEAR, BEGINNERS ELL 10 Linear, ","INSTRUMENTAL MUSIC: ORCHESTRA 10 Strings LINEAR, INSTRUMENTAL MUSIC: ORCHESTRA 11 Strings Linear, INSTRUMENTAL MUSIC: ORCHESTRA 12 Strings Linear, STRINGS 9 LINEAR, ","LEARNING STRATEGIES 11 LINEAR, ","PHYSICAL AND HEALTH EDUCATION 10 LINEAR, ","SPOKEN LANGUAGE 10 LINEAR, BEGINNERS ELL 10 Linear, ","INSTRUMENTAL MUSIC: ORCHESTRA 10 Strings LINEAR, INSTRUMENTAL MUSIC: ORCHESTRA 11 Strings Linear, INSTRUMENTAL MUSIC: ORCHESTRA 12 Strings Linear, STRINGS 9 LINEAR, ","LEARNING STRATEGIES 11 LINEAR, ","PHYSICAL AND HEALTH EDUCATION 10 LINEAR, ","JAZZ BAND 9 LINEAR, "
"LEARNING STRATEGIES 12 LINEAR, ","INSTRUMENTAL MUSIC: CONCERT BAND 10 Linear, PHYSICAL AND HEALTH EDUCATION 10 LINEAR Boys, ","LITERARY STUDIES 10 Linear, ","LEARNING STRATEGIES 10 LINEAR, ","LEARNING STRATEGIES 12 LINEAR, ","INSTRUMENTAL MUSIC: CONCERT BAND 10 Linear, PHYSICAL AND HEALTH EDUCATION 10 LINEAR Boys, ","LITERARY STUDIES 10 Linear, ","LEARNING STRATEGIES 10 LINEAR, ","GRAPHIC PRODUCTION 11 LINEAR, "
"PRE-CALCULUS 12, ","DANCE FOUNDATIONS 10, DANCE FOUNDATIONS 11, DANCE FOUNDATIONS 12, DANCE 9 Foundations, ","PRE-CALCULUS 12 HONOURS, ","LEARNING STRATEGIES 9 LD LINEAR, ","CALCULUS 12, ","FOOD STUDIES 11, FOOD STUDIES 12, ","AP CALCULUS AB 12 external credential, ","LEARNING STRATEGIES 9 LD LINEAR, ","DANCE 10: CHOREOGRAPHY Linear, DANCE 11: CHOREOGRAPHY Linear, DANCE 12: CHOREOGRAPHY Linear, DANCE 9 Choreography Linear, "
"MARKETING AND PROMOTION 11, ","LITERARY STUDIES 12, ","CHEMISTRY 11, ","DRAMA 10, DRAMA 11, DRAMA 12, ","ENTREPRENEURSHIP 12, ","STATISTICS 12, ","CHEMISTRY 12, ","VISUAL ARTS: PHOTOGRAPHY 10, PHOTOGRAPHY 11, PHOTOGRAPHY 12, ","SCHOLARSHIP PREPARATION 12 LINEAR, "
"SPANISH 9, SPANISH 10, ","ART STUDIO 11, ART STUDIO 12, ","COMPUTER SCIENCE 11, COMPUTER SCIENCE 12, ","PRE-CALCULUS 12, ","SPANISH 11, SPANISH 12, ","ADST - Food Studies 9, ADST ?  FOOD STUDIES 10, ","CALCULUS 12, ","LAW STUDIES 12, ","GEOMETRY 12, "
"EXPLORATIONS IN SOCIAL STUDIES 11, ","ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE, ","PRE-CALCULUS 12, ","ADST 9 - General Exploratns Design Innov & Inquiry, ADST-Technology Explorations 10 Design Innov & Inq, DESIGN AND INNOVATION 11, DESIGN AND INNOVATION 12, ","CONTEMPORARY INDIGENOUS STUDIES 12, ","ANATOMY AND PHYSIOLOGY 12, ","PRE-CALCULUS 12, ","SOCIAL STUDIES 10, ","INSTRUMENTAL MUSIC 11: JAZZ BAND LINEAR, INSTRUMENTAL MUSIC 12: JAZZ BAND LINEAR, "
"AUTOMOTIVE TECHNOLOGY 11, AUTOMOTIVE TECHNOLOGY 12, ENGINE AND DRIVETRAIN 12, ","FOUNDATIONS OF MATH AND PRE-CALCULUS 10, ","PRE-CALCULUS 11, ","ADST ? MEDIA DESIGN 10, MEDIA DESIGN 11, MEDIA DESIGN 12, ","AUTOMOTIVE TECHNOLOGY 11, AUTOMOTIVE TECHNOLOGY 12, ENGINE AND DRIVETRAIN 12, ","ENGLISH LANGUAGE ARTS 9 CHALLENGE, ","ENGLISH STUDIES 12, ","DANCE 9 Performance and Technique, DANCE TECHNIQUE AND PERFORMANCE 10, DANCE TECHNIQUE AND PERFORMANCE 11, DANCE TECHNIQUE AND PERFORMANCE 12, ","PEER TUTORING 10 LINEAR, PEER TUTORING 11 LINEAR, PEER TUTORING 12 LINEAR, "
"PHYSICS 11, ","AUTOMOTIVE TECHNOLOGY 11, AUTOMOTIVE TECHNOLOGY 12, ENGINE AND DRIVETRAIN 12, ","LITERARY STUDIES 11, ","SOCIAL STUDIES 10 CHALLENGE, ","PHYSICS 12, ","COMPOSITION 10 Challenge, ","CHEMISTRY 11, ","ENGLISH STUDIES 12, ","DANCE 9 Company: Platform 61 Linear, DANCE COMPANY 10 Linear, DANCE COMPANY 11 Linear, DANCE COMPANY 12 Linear, "
"FRENCH 10, ","MATHEMATICS 9 CHALLENGE, ","SCIENCE 10, ","ADST - Drafting 9, ADST ?  DRAFTING 10, ","FRENCH 11, ","CAREER LIFE EDUCATION 10, ","ENVIRONMENTAL SCIENCE 11, ","ADST - Food Studies 9, ADST ?  FOOD STUDIES 10, ","COMMUNITY LEADERSHIP 10, COMMUNITY LEADERSHIP 11, COMMUNITY LEADERSHIP 12, "
"COMPUTER SCIENCE 11, COMPUTER SCIENCE 12, ","PHYSICAL AND HEALTH EDUCATION 9 Boys, PHYSICAL AND HEALTH EDUCATION 10 Boys, ","PHYSICS 11, ","CHEMISTRY 11, ","COMPUTER SCIENCE 11, COMPUTER SCIENCE 12, ","COMPARATIVE CULTURES 12, ","OUTDOOR EDUCATION 11, OUTDOOR EDUCATION 12, OUTDOOR EDUCATION 10, ","EXPLORATIONS IN SOCIAL STUDIES 11, ","CHORAL MUSIC 11: CONCERT CHOIR Linear, CHORAL MUSIC 12: CONCERT CHOIR Linear, CHORAL MUSIC: CONCERT CHOIR 10 Linear, CONCERT CHOIR 9 Linear, "
"CHEMISTRY 11, ","FOUNDATIONS OF MATHEMATICS 11, ","PHYSICAL GEOGRAPHY 12, ","PHYSICS 11, ","CHEMISTRY 12, ","PSYCHOLOGY 11, ","ENGLISH FIRST PEOPLES 12, ","ENTREPRENEURSHIP 12, ","INDEPENDENT DIRECTED STUDIES 10C, "
"PRE-CALCULUS 11, ","CRIMINOLOGY 12, ","E-COMMERCE 12, ","EXPLORATIONS IN SOCIAL STUDIES 11, ","PRE-CALCULUS 12, ","PRE-CALCULUS 11, ","PHYSICAL AND HEALTH EDUCATION 9 Girls, PHYSICAL AND HEALTH EDUCATION 10 Girls, ","CHEMISTRY 12, ","INSTRUMENTAL MUSIC: JAZZ BAND 10 Linear, "
"ENGLISH 9 FOR ELL, ","VISUAL ARTS: PHOTOGRAPHY 10, PHOTOGRAPHY 11, PHOTOGRAPHY 12, ","SCIENCE 10: CHALLENGE, ","PHYSICS 12, ","ENGLISH LANGUAGE ARTS 9, ","SOCIAL STUDIES 10, ","FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE, ","LITERARY STUDIES 11 Challenge, ","GRAPHIC PRODUCTION 12 LINEAR, "
"PRE-CALCULUS 11 HONOURS, ","MATHEMATICS 9, ","LIFE SCIENCES 11, ","SCIENCE 9, ","AP COMPUTER SCIENCE A 12, ","PHYSICAL AND HEALTH EDUCATION 9 Boys, PHYSICAL AND HEALTH EDUCATION 10 Boys, ","CREATIVE WRITING 11, ","ADST ?  POWER TECHNOLOGY 10, TECH ED 9: MECHANICS LD, ","WORK EXPERIENCE 12A LINEAR, "
