1435
"Semester: 1, Block: A","ACTIVE LIVING 11 Girls, ACTIVE LIVING 12 Girls, , "
"Semester: 1, Block: B","DANCE FOUNDATIONS 10, DANCE FOUNDATIONS 11, DANCE FOUNDATIONS 12, DANCE 9 Foundations, , "
"Semester: 1, Block: C","CHEMISTRY 11, , "
"Semester: 1, Block: D","DRAMA 10, DRAMA 11, DRAMA 12, , "
"Semester: 2, Block: A","COMPOSITION 11, , "
"Semester: 2, Block: B","FOOD STUDIES 11, FOOD STUDIES 12, , "
"Semester: 2, Block: C","OUTDOOR EDUCATION 11, OUTDOOR EDUCATION 12, OUTDOOR EDUCATION 10, , "
"Semester: 2, Block: D","VISUAL ARTS: PHOTOGRAPHY 10, PHOTOGRAPHY 11, PHOTOGRAPHY 12, , "
Outside,

1275
"Semester: 1, Block: A","AP ENGLISH LITERATURE & COMPOSITION 12, , "
"Semester: 1, Block: B","LITERARY STUDIES 12, , "
"Semester: 1, Block: C","PHYSICS 11, , "
"Semester: 1, Block: D","PRE-CALCULUS 12, , "
"Semester: 2, Block: A","ANATOMY AND PHYSIOLOGY 12, , "
"Semester: 2, Block: B","STATISTICS 12, , "
"Semester: 2, Block: C","CHEMISTRY 12, , "
"Semester: 2, Block: D",
Outside,"[COMMUNITY LEADERSHIP 10 Linear,COMMUNITY LEADERSHIP 11 Linear,COMMUNITY LEADERSHIP 12 Linear,]"

1420
"Semester: 1, Block: A","DRAFTING 12, ADST - Drafting 9, ADST ?  DRAFTING 10, DRAFTING 11, , "
"Semester: 1, Block: B","ART STUDIO 11, ART STUDIO 12, , "
"Semester: 1, Block: C","PRE-CALCULUS 12, , "
"Semester: 1, Block: D","ADST 9 - General Exploratns Design Innov & Inquiry, ADST-Technology Explorations 10 Design Innov & Inq, DESIGN AND INNOVATION 11, DESIGN AND INNOVATION 12, , "
"Semester: 2, Block: A",
"Semester: 2, Block: B","FOOD STUDIES 11, FOOD STUDIES 12, , "
"Semester: 2, Block: C","ENGLISH FIRST PEOPLES 12, , "
"Semester: 2, Block: D","LAW STUDIES 12, , "
Outside,

1418
"Semester: 1, Block: A","LEARNING STRATEGIES 10, , "
"Semester: 1, Block: B","DANCE FOUNDATIONS 10, DANCE FOUNDATIONS 11, DANCE FOUNDATIONS 12, DANCE 9 Foundations, , "
"Semester: 1, Block: C","SCIENCE 10, , "
"Semester: 1, Block: D",
"Semester: 2, Block: A","EFP WRITING 10, , "
"Semester: 2, Block: B","ADST - Food Studies 9, ADST ?  FOOD STUDIES 10, , "
"Semester: 2, Block: C","PHYSICAL AND HEALTH EDUCATION 9 Girls, PHYSICAL AND HEALTH EDUCATION 10 Girls, , "
"Semester: 2, Block: D","SOCIAL STUDIES 10, , "
Outside,

1712
"Semester: 1, Block: A",
"Semester: 1, Block: B","ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE, , "
"Semester: 1, Block: C","PHYSICAL GEOGRAPHY 12, , "
"Semester: 1, Block: D","DRAMA 10, DRAMA 11, DRAMA 12, , "
"Semester: 2, Block: A","ANATOMY AND PHYSIOLOGY 12, , "
"Semester: 2, Block: B","FOOD STUDIES 11, FOOD STUDIES 12, , "
"Semester: 2, Block: C","ENGLISH FIRST PEOPLES 12, , "
"Semester: 2, Block: D",
Outside,

1519
"Semester: 1, Block: A","COMPOSITION 10, , "
"Semester: 1, Block: B","FOUNDATIONS OF MATH AND PRE-CALCULUS 10, , "
"Semester: 1, Block: C","SCIENCE 10, , "
"Semester: 1, Block: D","DRAMA 10, DRAMA 11, DRAMA 12, , "
"Semester: 2, Block: A","SOCIAL STUDIES 10, , "
"Semester: 2, Block: B","ADST - Food Studies 9, ADST ?  FOOD STUDIES 10, , "
"Semester: 2, Block: C","PHYSICAL AND HEALTH EDUCATION 9 Girls, PHYSICAL AND HEALTH EDUCATION 10 Girls, , "
"Semester: 2, Block: D","DANCE 9 Performance and Technique, DANCE TECHNIQUE AND PERFORMANCE 10, DANCE TECHNIQUE AND PERFORMANCE 11, DANCE TECHNIQUE AND PERFORMANCE 12, , "
Outside,

1579
"Semester: 1, Block: A","PRE-CALCULUS 12, , "
"Semester: 1, Block: B","AUTOMOTIVE TECHNOLOGY 11, AUTOMOTIVE TECHNOLOGY 12, ENGINE AND DRIVETRAIN 12, , "
"Semester: 1, Block: C",
"Semester: 1, Block: D",
"Semester: 2, Block: A","CALCULUS 12, , "
"Semester: 2, Block: B","ANATOMY AND PHYSIOLOGY 12, , "
"Semester: 2, Block: C","CHEMISTRY 12, , "
"Semester: 2, Block: D","ENGLISH STUDIES 12, , "
Outside,

1084
"Semester: 1, Block: A","ADST-Information and Communications Technologies 9, Information and Communications Technologies 10, , "
"Semester: 1, Block: B","MATHEMATICS 9 CHALLENGE, , "
"Semester: 1, Block: C","PHYSICAL AND HEALTH EDUCATION 9 Linear, , "
"Semester: 1, Block: D","BEGINNER BAND 9 LINEAR, CONCERT BAND 9 Linear, , "
"Semester: 2, Block: A","ADST ? ENTREPRENEURSHIP AND MARKETING 10, , "
"Semester: 2, Block: B","ENGLISH LANGUAGE ARTS 9 CHALLENGE, , "
"Semester: 2, Block: C","PHYSICAL AND HEALTH EDUCATION 9 Linear, , "
"Semester: 2, Block: D","BEGINNER BAND 9 LINEAR, CONCERT BAND 9 Linear, , "
Outside,

1179
"Semester: 1, Block: A","MARKETING AND PROMOTION 11, , "
"Semester: 1, Block: B","ART STUDIO 11, ART STUDIO 12, , "
"Semester: 1, Block: C","E-COMMERCE 12, , "
"Semester: 1, Block: D","ADST ? MEDIA DESIGN 10, MEDIA DESIGN 11, MEDIA DESIGN 12, , "
"Semester: 2, Block: A","ENTREPRENEURSHIP 12, , "
"Semester: 2, Block: B","DRAFTING 12, ADST - Drafting 9, ADST ?  DRAFTING 10, DRAFTING 11, , "
"Semester: 2, Block: C","CHEMISTRY 12, , "
"Semester: 2, Block: D","VISUAL ARTS: PHOTOGRAPHY 10, PHOTOGRAPHY 11, PHOTOGRAPHY 12, , "
Outside,

1195
"Semester: 1, Block: A","COMPUTER SCIENCE 11, COMPUTER SCIENCE 12, , "
"Semester: 1, Block: B","PHYSICAL AND HEALTH EDUCATION 9 Boys, PHYSICAL AND HEALTH EDUCATION 10 Boys, , "
"Semester: 1, Block: C","SCIENCE 10: CHALLENGE, , "
"Semester: 1, Block: D","SOCIAL STUDIES 10 CHALLENGE, , "
"Semester: 2, Block: A","ADST ? ENTREPRENEURSHIP AND MARKETING 10, , "
"Semester: 2, Block: B","COMPOSITION 10 Challenge, , "
"Semester: 2, Block: C","FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE, , "
"Semester: 2, Block: D","ADST - Food Studies 9, ADST ?  FOOD STUDIES 10, , "
Outside,

1662
"Semester: 1, Block: A","SPANISH 9, SPANISH 10, , "
"Semester: 1, Block: B","FOUNDATIONS OF MATHEMATICS 11, , "
"Semester: 1, Block: C","CHEMISTRY 11, , "
"Semester: 1, Block: D",
"Semester: 2, Block: A","SPANISH 11, SPANISH 12, , "
"Semester: 2, Block: B","CAREER LIFE EDUCATION 10, , "
"Semester: 2, Block: C","CREATIVE WRITING 11, , "
"Semester: 2, Block: D","EXPLORATIONS IN SOCIAL STUDIES 11, , "
Outside,

1136
"Semester: 1, Block: A","ADST-Information and Communications Technologies 9, Information and Communications Technologies 10, , "
"Semester: 1, Block: B","MATHEMATICS 9 CHALLENGE, , "
"Semester: 1, Block: C","PHYSICAL AND HEALTH EDUCATION 9 Linear, , "
"Semester: 1, Block: D","BEGINNER BAND 9 LINEAR, CONCERT BAND 9 Linear, , "
"Semester: 2, Block: A","FRENCH 11, , "
"Semester: 2, Block: B","ENGLISH LANGUAGE ARTS 9 CHALLENGE, , "
"Semester: 2, Block: C","PHYSICAL AND HEALTH EDUCATION 9 Linear, , "
"Semester: 2, Block: D","BEGINNER BAND 9 LINEAR, CONCERT BAND 9 Linear, , "
Outside,"[JAZZ BAND 9 LINEAR,]"

1170
"Semester: 1, Block: A","ACCOUNTING 11, ACCOUNTING 12, , "
"Semester: 1, Block: B","FOUNDATIONS OF MATH AND PRE-CALCULUS 10, , "
"Semester: 1, Block: C","SCIENCE 10, , "
"Semester: 1, Block: D","ADST - Drafting 9, ADST ?  DRAFTING 10, , "
"Semester: 2, Block: A","EFP WRITING 10, , "
"Semester: 2, Block: B","ADST - Food Studies 9, ADST ?  FOOD STUDIES 10, , "
"Semester: 2, Block: C","PHYSICAL AND HEALTH EDUCATION 9 Girls, PHYSICAL AND HEALTH EDUCATION 10 Girls, , "
"Semester: 2, Block: D","SOCIAL STUDIES 10, , "
Outside,

1601
"Semester: 1, Block: A","PHYSICS 11, , "
"Semester: 1, Block: B","CRIMINOLOGY 12, , "
"Semester: 1, Block: C","PRE-CALCULUS 12, , "
"Semester: 1, Block: D",
"Semester: 2, Block: A","ANATOMY AND PHYSIOLOGY 12, , "
"Semester: 2, Block: B","COMPARATIVE CULTURES 12, , "
"Semester: 2, Block: C","CHEMISTRY 12, , "
"Semester: 2, Block: D","ENTREPRENEURSHIP 12, , "
Outside,

1468
"Semester: 1, Block: A","CAREER LIFE EDUCATION 10 Linear, , "
"Semester: 1, Block: B","FOUNDATIONS OF MATHEMATICS 11, , "
"Semester: 1, Block: C","LEARNING STRATEGIES 11 LINEAR, , "
